CODE,DESCRIPTION,LAST_UPDATED
A00,Cholera,2025-09-10
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",2025-09-10
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",2025-09-10
A009,"Cholera, unspecified",2025-09-10
A01,Typhoid and paratyphoid fevers,2025-09-10
A010,Typhoid fever,2025-09-10
A011,Paratyphoid fever A,2025-09-10
A012,Paratyphoid fever B,2025-09-10
A013,Paratyphoid fever C,2025-09-10
A014,"Paratyphoid fever, unspecified",2025-09-10
A02,Other salmonella infections,2025-09-10
A020,Salmonella enteritis,2025-09-10
A021,Salmonella sepsis,2025-09-10
A022,Localized salmonella infections,2025-09-10
A028,Other specified salmonella infections,2025-09-10
A029,"Salmonella infection, unspecified",2025-09-10
A03,Shigellosis,2025-09-10
A030,Shigellosis due to Shigella dysenteriae,2025-09-10
A031,Shigellosis due to Shigella flexneri,2025-09-10
A032,Shigellosis due to Shigella boydii,2025-09-10
A033,Shigellosis due to Shigella sonnei,2025-09-10
A038,Other shigellosis,2025-09-10
A039,"Shigellosis, unspecified",2025-09-10
A04,Other bacterial intestinal infections,2025-09-10
A040,Enteropathogenic Escherichia coli infection,2025-09-10
A041,Enterotoxigenic Escherichia coli infection,2025-09-10
A042,Enteroinvasive Escherichia coli infection,2025-09-10
A043,Enterohaemorrhagic Escherichia coli infection,2025-09-10
A044,Other intestinal Escherichia coli infections,2025-09-10
A045,Campylobacter enteritis,2025-09-10
A046,Enteritis due to Yersinia enterocolitica,2025-09-10
A047,Enterocolitis due to Clostridium difficile,2025-09-10
A048,Other specified bacterial intestinal infections,2025-09-10
A049,"Bacterial intestinal infection, unspecified",2025-09-10
A05,"Other bacterial foodborne intoxications, not elsewhere classified",2025-09-10
A050,Foodborne staphylococcal intoxication,2025-09-10
A051,Botulism,2025-09-10
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,2025-09-10
A053,Foodborne Vibrio parahaemolyticus intoxication,2025-09-10
A054,Foodborne Bacillus cereus intoxication,2025-09-10
A058,Other specified bacterial foodborne intoxications,2025-09-10
A059,"Bacterial foodborne intoxication, unspecified",2025-09-10
A06,Amoebiasis,2025-09-10
A060,Acute amoebic dysentery,2025-09-10
A061,Chronic intestinal amoebiasis,2025-09-10
A062,Amoebic nondysenteric colitis,2025-09-10
A063,Amoeboma of intestine,2025-09-10
A064,Amoebic liver abscess,2025-09-10
A065,Amoebic lung abscess,2025-09-10
A066,Amoebic brain abscess,2025-09-10
A067,Cutaneous amoebiasis,2025-09-10
A068,Amoebic infection of other sites,2025-09-10
A069,"Amoebiasis, unspecified",2025-09-10
A07,Other protozoal intestinal diseases,2025-09-10
A070,Balantidiasis,2025-09-10
A071,Giardiasis [lambliasis],2025-09-10
